Actor,A_Acc,Avg_PartyTime,GuildAct_count,GuildJoin_count,Type
1047,6482393,6760.2061,1,0,Human
1049,6275719,4792.6923,2,0,Human
1120,6596993,5341.3333,0,0,Human
1164,6670686,4584.7143,0,0,Human
1184,4220231,6350.5,0,0,Human
1257,4458955,3977.5,0,0,Human
1270,6149063,3956.5229,2,1,Human
1312,6638169,6265.1646,2,1,Human
1370,3477321,5271.2232,2,0,Human
1380,6671066,4509.8553,0,0,Human
1381,6427130,4661.0042,1,0,Human
1402,6678998,6216,0,0,Human
1422,6204080,7992.2368,2,1,Human
1452,6576505,5325.094,1,0,Human
1459,2217125,5209.1719,2,1,Bot
1644,6411123,0,0,0,Human
1646,6536085,5102.1619,0,0,Human
1707,6696307,6342.3077,3,1,Human
1788,4017366,5404.6667,0,0,Human
1791,3070120,6694,0,0,Human
1832,6528265,5754.4667,1,0,Human
1835,6168460,6740.25,2,1,Human
1882,6677223,4917.9777,3,0,Human
1884,6710067,737.3333,5,1,Human
1892,4024531,1805,0,0,Human
1925,5783140,3493.5,1,0,Human
1937,6639830,7923.7143,4,1,Human
2039,6130143,6231,0,0,Human
2041,3477321,0,0,0,Human
2133,6454135,7149.3103,1,1,Human
2144,6605277,6602.1705,0,0,Human
2238,5811587,29598.6154,0,0,Bot
2244,6618636,0,0,0,Human
2294,6711638,6296.1931,2,1,Human
2364,6296822,4703.8696,0,0,Human
2375,6658320,9226.6207,0,0,Human
2390,6707259,6214.8142,0,0,Human
2425,6604737,5112.5455,1,1,Human
2436,6363263,0,0,0,Human
2439,6693446,7769.3333,0,0,Human
2484,6224645,8282.4074,0,0,Human
2552,4175200,1225,1,0,Human
2554,6603391,0,0,0,Human
2560,6343429,4099.7778,1,0,Human
2588,2118197,6195.0811,1,0,Human
2624,6295141,8501.2,0,0,Human
2638,6298485,0,0,0,Human
2688,6502669,6768.875,1,0,Human
2811,6707259,3259.9762,0,0,Human
2866,5073534,297,2,1,Human
2906,3022450,5387.225,0,0,Human
2972,6694666,5588.3256,0,0,Human
3001,4269437,5232.8209,1,0,Bot
3054,6686650,4533.3231,1,0,Human
3087,6480744,11512.9375,0,0,Human
3089,6387293,6272.95,0,0,Human
3098,6711650,8024.8411,0,0,Human
3215,6663272,3286.9622,2,0,Human
3225,6673180,2501.7119,0,0,Human
3265,6310828,0,0,0,Bot
3286,6708917,5865.7893,1,0,Human
3314,6349830,3221.5,0,0,Human
3455,6623180,6888.854,0,0,Human
3561,6708614,0,1,1,Human
3607,4002425,5686.1271,2,0,Human
3682,6709762,0,0,0,Human
3710,6702154,5643.6849,3,0,Human
3803,2999620,6519.2294,2,1,Human
3825,6376114,0,0,0,Human
3826,6534729,0,0,0,Bot
3892,6711586,0,0,0,Human
3999,6702832,7491.7647,5,1,Human
4098,6188950,6949.5183,3,1,Human
4128,5193511,4653.125,2,1,Human
4200,6652809,4245.8776,1,0,Human
4203,5797473,4568.2909,0,0,Human
4207,6576284,5981.8889,0,0,Human
4218,2813438,12051.1585,1,0,Human
4357,6696486,2989.0714,0,0,Human
