Actor,A_Acc,Login_day_count,Logout_day_count,Playtime,playtime_per_day,avg_money,Login_count,ip_count,Max_level,Type
1047,6482393,46,42,764520,18202.8571,26576.5613,97,27,51,Human
1049,6275719,16,16,48300,3018.75,902.5117,32,13,47,Human
1120,6596993,4,4,37867,9466.75,60.9084,8,6,19,Human
1164,6670686,9,9,34592,3843.5556,127755.7357,9,6,50,Human
1184,4220231,11,11,117686,10698.7273,7589.3723,37,8,40,Human
1257,4458955,26,26,113372,4360.4615,455.3869,66,14,42,Human
1270,6149063,26,26,463745,17836.3462,37473.1178,127,30,48,Human
1312,6638169,59,57,1287591,22589.3158,27625.3357,152,7,55,Human
1370,3477321,83,83,2866440,34535.4217,11960.8567,403,4,55,Human
1380,6671066,42,42,625884,14902,16782.2762,131,19,53,Human
1381,6427130,80,83,2599860,31323.6145,6932.7388,270,36,55,Human
1402,6678998,5,5,12674,2534.8,4417.8983,6,1,50,Human
1422,6204080,87,87,498154,5725.908,59745.9773,429,1,51,Human
1452,6576505,88,87,2763986,31769.954,79767.7719,267,21,55,Human
1459,2217125,25,25,971218,38848.72,8128.6732,87,22,50,Bot
1644,6411123,3,3,12367,4122.3333,5804.0848,8,3,46,Human
1646,6536085,30,35,905005,25857.2857,33590.1276,137,6,51,Human
1707,6696307,17,17,89009,5235.8235,14980.5224,52,21,52,Human
1788,4017366,22,22,114812,5218.7273,36690.195,33,15,52,Human
1791,3070120,78,78,463760,5945.641,187952.9943,270,15,51,Human
1832,6528265,11,11,193739,17612.6364,7118.211,24,7,52,Human
1835,6168460,12,12,33597,2799.75,1053.6315,22,10,51,Human
1882,6677223,88,88,2667631,30313.9886,71192.6303,1332,15,55,Human
1884,6710067,34,34,138792,4082.1176,63348.2609,59,15,47,Human
1892,4024531,57,57,44033,772.5088,22765.7735,132,3,46,Human
1925,5783140,24,24,45467,1894.4583,2916.1494,55,4,35,Human
1937,6639830,59,51,628828,12329.9608,12382.3313,79,19,55,Human
2039,6130143,1,1,10827,10827,6380.1117,1,1,50,Human
2041,3477321,83,83,137101,1651.8193,10446.207,255,3,10,Human
2133,6454135,23,22,178258,8102.6364,22242.8401,47,15,52,Human
2144,6605277,85,84,1467313,17468.0119,51270.804,340,10,55,Human
2238,5811587,7,6,456743,76123.8333,914.3451,9,2,37,Bot
2244,6618636,4,4,13494,3373.5,2846.09,5,3,51,Human
2294,6711638,73,71,1396543,19669.6197,37688.702,223,34,53,Human
2364,6296822,32,32,422090,13190.3125,1371.7441,78,21,50,Human
2375,6658320,40,40,1020422,25510.55,84088.9179,93,15,55,Human
2390,6707259,70,69,914413,13252.3623,22535.0493,225,30,55,Human
2425,6604737,29,29,76873,2650.7931,419.846,108,13,42,Human
2436,6363263,7,6,422138,70356.3333,10009.6288,28,6,45,Human
2439,6693446,4,5,20645,4129,10485.4212,8,5,51,Human
2484,6224645,17,16,135735,8483.4375,1801.2302,31,11,50,Human
2552,4175200,16,16,74761,4672.5625,46990.8078,22,8,50,Human
2554,6603391,71,71,91222,1284.8169,10790.0599,206,7,50,Human
2560,6343429,21,21,267361,12731.4762,10742.5235,42,8,53,Human
2588,2118197,47,42,790911,18831.2143,11355.9167,115,19,53,Human
2624,6295141,17,18,192834,10713,14316.5482,42,9,52,Human
2638,6298485,2,2,12353,6176.5,251.8809,3,2,46,Human
2688,6502669,6,6,75395,12565.8333,6793.428,10,4,51,Human
2811,6707259,47,46,128622,2796.1304,977.8755,96,16,39,Human
2866,5073534,78,78,39891,511.4231,23225.4434,218,20,51,Human
2906,3022450,33,33,498512,15106.4242,144794.7186,91,35,50,Human
2972,6694666,41,38,475152,12504,208812.3805,111,21,51,Human
3001,4269437,31,31,315647,10182.1613,35207.7032,116,7,51,Bot
3054,6686650,67,62,884349,14263.6935,28849.1708,136,2,51,Human
3087,6480744,24,25,163743,6549.72,66704.5627,51,16,52,Human
3089,6387293,28,28,394897,14103.4643,37880.7194,56,21,52,Human
3098,6711650,48,48,1231939,25665.3958,9430.3642,163,3,55,Human
3215,6663272,85,87,2363084,27161.8851,115515.5313,569,29,55,Human
3225,6673180,19,20,228278,11413.9,6769.9422,38,18,52,Human
3265,6310828,7,7,506218,72316.8571,805.5773,18,3,50,Bot
3286,6708917,79,79,1217418,15410.3544,4824.4061,461,19,55,Human
3314,6349830,17,18,261941,14552.2778,23149.8677,36,5,48,Human
3455,6623180,86,87,2777279,31922.7471,21380.5819,303,19,55,Human
3561,6708614,29,29,28380,978.6207,9132.3207,45,12,46,Human
3607,4002425,87,88,2912251,33093.7614,4637.687,441,53,55,Human
3682,6709762,9,9,389623,43291.4444,4416.264,18,8,42,Human
3710,6702154,88,88,2288332,26003.7727,41691.7663,610,20,55,Human
3803,2999620,87,86,3117475,36249.7093,29990.0345,521,15,55,Human
3825,6376114,7,7,100542,14363.1429,6022.7259,18,2,48,Human
3826,6534729,12,12,48072,4006,19483.0208,19,9,48,Bot
3892,6711586,88,81,6755016,83395.2593,35121.2038,93,2,55,Human
3999,6702832,42,42,569484,13559.1429,5196.8188,94,22,51,Human
4098,6188950,63,64,1286477,20101.2031,83265.4594,298,2,55,Human
4128,5193511,27,27,210897,7811,6319.2023,48,3,52,Human
4200,6652809,83,85,2093286,24626.8941,51212.5796,421,28,55,Human
4203,5797473,49,47,667450,14201.0638,35738.141,75,6,52,Human
4207,6576284,6,6,68076,11346,10091.9703,13,6,49,Human
4218,2813438,71,70,1165621,16651.7286,14784.2026,352,2,55,Human
4357,6696486,30,30,90581,3019.3667,19028.9599,72,19,51,Human
4359,6405899,82,83,800688,9646.8434,13284.2819,242,37,52,Human
4389,6704301,69,70,891048,12729.2571,543501.4603,292,51,55,Human
4396,6683982,88,88,3520281,40003.1932,8663.8755,327,10,55,Human
4432,6611137,13,13,305994,23538,11812.1899,53,2,50,Human
4438,6610775,44,43,706719,16435.3256,7956.4741,78,14,55,Human
4476,6615220,88,88,2502972,28442.8636,384776.4355,512,1,55,Human
4555,6242016,9,9,12577,1397.4444,69229.3523,15,2,27,Human
4565,4757810,17,17,18367,1080.4118,249.8958,50,14,50,Human
4630,4115991,52,53,346555,6538.7736,100624.4893,132,12,51,Human
4641,6479341,28,29,205400,7082.7586,30987.5762,75,9,47,Human
4670,6573951,85,85,2810272,33062.0235,36504.7972,297,1,55,Human
4732,4907861,87,88,2563142,29126.6136,19272.008,537,15,55,Human
4742,6481287,8,8,529116,66139.5,15884.4211,30,9,48,Bot
4758,6595742,68,67,202730,3025.8209,1576.9571,226,6,40,Human
4819,6697216,35,37,569251,15385.1622,12804.2435,80,21,52,Human
4837,6636471,26,26,277648,10678.7692,9470.3927,78,23,50,Human
4900,6527266,25,25,236465,9458.6,10257.1194,73,16,41,Human
4967,6188353,88,88,2329043,26466.3977,57485.3794,524,6,55,Human
5022,6350853,74,72,1111564,15438.3889,28234.3174,261,37,55,Human
5046,6235416,3,3,23586,7862,6994.2994,4,2,51,Human
5244,4115991,42,42,134925,3212.5,104593.7682,69,11,43,Human
5297,5893738,70,72,1703263,23656.4306,20296.9976,431,20,55,Human
5396,6213975,19,20,134400,6720,2219.1576,51,12,51,Human
5528,4142072,42,42,86618,2062.3333,8519.2245,73,20,43,Human
5545,6662829,4,4,37292,9323,13271.8575,5,5,51,Human
5554,6465262,22,22,11085,503.8636,11001.5276,34,13,43,Human
5556,6698785,7,7,22015,3145,5138.0089,6,7,42,Human
5590,2648551,88,88,2208586,25097.5682,11302.7163,592,34,55,Human
5699,6549517,17,17,84561,4974.1765,2143.6726,25,12,51,Human
5725,6711605,64,64,96241,1503.7656,2804.6315,181,17,42,Human
5802,6712687,88,86,1991518,23157.186,21451.9549,295,11,55,Human
5818,6555924,7,7,23937,3419.5714,3698.5566,10,1,51,Bot
5851,890876,85,85,1968563,23159.5647,27816.8065,519,11,55,Human
5860,3787641,13,13,66369,5105.3077,2609.3343,50,1,50,Human
5869,6465811,15,15,20092,1339.4667,251.0196,22,2,51,Human
5890,6420900,83,83,2242624,27019.5663,145710.8304,397,31,55,Human
5925,3092004,14,13,261788,20137.5385,51847.5585,55,4,51,Human
6033,6339703,88,88,2526302,28707.9773,41230.8543,686,26,55,Human
6040,6575441,88,88,4579450,52039.2045,49469.1961,634,87,55,Human
6088,4288512,87,84,4242927,50511.0357,89620.5831,473,2,55,Human
6173,6198513,87,87,2306677,26513.5287,254507.9079,707,2,55,Bot
6186,3094957,61,60,155564,2592.7333,11350.9903,138,7,51,Human
