Actor,A_Acc,Social_diversity,Type
1047,6482393,0.6407,Human
1049,6275719,1.3499,Human
1120,6596993,0.6931,Human
1164,6670686,0.9345,Human
1184,4220231,0.9736,Human
1257,4458955,1.3656,Human
1270,6149063,1.1956,Human
1312,6638169,0.7141,Human
1370,3477321,1.0264,Human
1380,6671066,0.8922,Human
1381,6427130,1.2399,Human
1402,6678998,1.0114,Human
1422,6204080,1.4066,Human
1452,6576505,1.4498,Human
1459,2217125,1.0242,Bot
1644,6411123,0,Human
1646,6536085,1.2604,Human
1707,6696307,1.0959,Human
1788,4017366,0.7215,Human
1791,3070120,1.1845,Human
1832,6528265,1.1335,Human
1835,6168460,0.9003,Human
1882,6677223,1.4226,Human
1884,6710067,1.0731,Human
1892,4024531,0.3768,Human
1925,5783140,1.3796,Human
1937,6639830,1.0745,Human
2039,6130143,0,Human
2041,3477321,0.8939,Human
2133,6454135,0.9893,Human
2144,6605277,1.2085,Human
2238,5811587,0.6255,Bot
2244,6618636,0,Human
2294,6711638,1.2773,Human
2364,6296822,1.3043,Human
2375,6658320,1.1452,Human
2390,6707259,0.8807,Human
2425,6604737,0.7726,Human
2436,6363263,0,Human
2439,6693446,0.5783,Human
2484,6224645,0.8684,Human
2552,4175200,0.639,Human
2554,6603391,1.0607,Human
2560,6343429,0.6442,Human
2588,2118197,1.2535,Human
2624,6295141,1.1364,Human
2638,6298485,0,Human
2688,6502669,0.1989,Human
2811,6707259,1.0938,Human
2866,5073534,1.0369,Human
2906,3022450,0.971,Human
2972,6694666,0.8244,Human
3001,4269437,1.2602,Bot
3054,6686650,0.7903,Human
3087,6480744,0.8158,Human
3089,6387293,1.1398,Human
3098,6711650,0.6665,Human
3215,6663272,1.0584,Human
3225,6673180,1.0415,Human
3265,6310828,0,Bot
3286,6708917,0.971,Human
3314,6349830,1.5571,Human
3455,6623180,0.5714,Human
3561,6708614,0.9743,Human
3607,4002425,1.4474,Human
3682,6709762,0.7215,Human
