Actor,A_Acc,Login_day_count,Playtime,playtime_per_day,avg_money,Social_diversity,Max_level,collect_max_count,exp_get_count_per_day,item_get_count_per_day,money_get_count_per_day,abyss_get_count_per_day,p_deg,f_deg,t_deg,m_deg,Avg_PartyTime,GuildAct_count,Type,Group
1459,2217125,25,971218,38848.72,8128.6732,1.0242,50,0,744.48,949.16,156.6,86.56,325,51,40,4,5209.1719,2,Bot,2
2238,5811587,7,456743,76123.8333,914.3451,0.6255,37,0,2661.1667,230.6667,2.666666667,2,1,0,4,2,29598.6154,0,Bot,2
3001,4269437,31,315647,10182.1613,35207.7032,1.2602,51,0,191.0968,71.5806,138.1290323,156.9032,50,8,12,4,5232.8209,1,Bot,2
3265,6310828,7,506218,72316.8571,805.5773,0,50,4214,3862,3683.2857,7,0.7143,0,0,0,0,0,0,Bot,2
3826,6534729,12,48072,4006,19483.0208,0,48,51,40.6667,115.75,10.75,0,0,0,0,2,0,0,Bot,2
4742,6481287,8,529116,66139.5,15884.4211,0,48,6737,1806.875,3023.875,789,0,0,0,0,2,0,0,Bot,2
5818,6555924,7,23937,3419.5714,3698.5566,1.0549,51,0,32.8571,22.1429,10.42857143,19.2857,6,4,1,0,2268.8333,1,Bot,2
6173,6198513,87,2306677,26513.5287,254507.9079,0.9429,55,404,365.046,378.5172,204.5747126,188.7471,525,85,90,34,2969.2294,0,Bot,2
6187,6106357,15,865715,50924.4118,5065.5538,0,45,0,959.4706,953.6471,3.823529412,0.8235,0,0,0,4,0,0,Bot,2
6636,6521853,6,34375,5729.1667,2627.0696,0.8487,46,0,128.8333,370.8333,88.33333333,0,2,0,4,3,9770.5,0,Bot,2
6766,260234,6,494844,82474,487.709,0,50,8612,0,6117.5,0,0,0,0,0,2,0,0,Bot,2
7469,4166908,41,197734,4822.7805,206515.7102,0,41,0,0.0244,4.439,3.170731707,0,0,0,4,1,0,0,Bot,2
8085,6320417,88,5763766,65497.3409,890574.2297,0.7374,55,2241,671.25,8714.9659,178.8977273,221.8977,76,13,59,19,4635.4358,0,Bot,1
8117,6710920,7,422290,60327.1429,10952.1057,0.673,50,3544,819.5714,2233.1429,5.714285714,0.1429,0,0,2,0,0,0,Bot,2
8250,6635302,87,6895940,83083.6145,17908.4124,0.1868,55,6536,3775.0482,4087.747,16.6746988,14.4458,0,0,2,3,0,1,Bot,2
8857,6465500,16,1088022,68001.375,2196.124,0.3768,52,5725,3790.6875,3790.75,0,0,0,7,0,1,0,1,Bot,2
9651,6306906,6,449693,64241.8571,9793.3754,0,40,3008,983.7143,1274.8571,19.28571429,0.4286,0,0,0,2,0,0,Bot,2
10465,6336017,6,558597,79799.5714,386.8893,0.6365,46,7536,261,6002.8571,0.142857143,0.2857,1,0,2,2,879,0,Bot,2
11458,6718803,66,456767,6817.4179,41731.5834,1.1505,53,0,122.4328,222.597,62.79104478,63.0746,53,6,6,18,7232.7347,1,Bot,2
11767,6526863,4,18445,4611.25,20061.6815,0.6931,34,0,0,0.5,0.25,0,0,0,0,2,0,1,Bot,2
12458,6700359,8,544440,60493.3333,6611.9057,0,39,6003,1114.5556,3740.1111,3.444444444,0,0,0,2,0,0,0,Bot,2
13565,6667558,9,656373,65637.3,2565.7902,0,26,7431,480.5,5368.4,3.8,0,0,0,2,0,0,0,Bot,2
13829,6635188,65,1772225,27691.0156,26310.6377,0.9813,55,192,561.1875,286.5,254.609375,286,254,8,26,28,7332.8078,1,Bot,2
13976,6321969,61,491345,8774.0179,19559.1157,1.4162,52,0,135.375,126.0357,50.51785714,78.6429,45,4,11,7,5826.0364,2,Bot,2
15054,4471672,7,484707,69243.8571,2940.3674,0,38,5191,116.8571,2660.7143,1.285714286,0,0,0,0,2,0,0,Bot,2
15216,5720930,88,7065230,81209.5402,13192.6293,0.4826,53,6207,567.2184,4397.8736,1.471264368,0,0,0,2,4,0,0,Bot,2
15535,6272776,5,38201,7640.2,159.2255,1.0397,51,1774,519.8,622.4,2.6,0,0,1,2,2,0,0,Bot,2
